"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 24 23:53:39 KST 2020","Tue Nov 24 23:53:52 KST 2020","12372","","","","","","사용자 상세 페이지에서 [전화번호]를 변경하고 [저장]한다",""
"passed","Tue Nov 24 21:26:04 KST 2020","Tue Nov 24 21:26:12 KST 2020","8059","","","","","","[사용자 추가]팝업에서 아이디를 입력하지 않고 사용자 [추가]를 시도한다",""
"passed","Tue Nov 24 21:31:03 KST 2020","Tue Nov 24 21:31:11 KST 2020","7662","","","","","","사용자 페이지에서 사용자 목록을 확인한다",""
"passed","Tue Nov 24 23:44:13 KST 2020","Tue Nov 24 23:44:22 KST 2020","9535","","","","","","[사용자 삭제]팝업의 [출력요소]를 확인한다",""
"passed","Wed Nov 25 00:35:22 KST 2020","Wed Nov 25 00:35:40 KST 2020","18210","","","","","","[그룹 사용자 삭제]팝업에서 사용자 삭제를 [취소]한다",""
"passed","Tue Nov 24 21:33:53 KST 2020","Tue Nov 24 21:34:08 KST 2020","14586","","","","","","사용자 목록 페이지에서 [MFA 인증하고, 활성화 상태인 사용자]의 [더보기]메뉴를 확인한다",""
"passed","Wed Nov 25 00:31:02 KST 2020","Wed Nov 25 00:31:12 KST 2020","9883","","","","","","[그룹 사용자 추가]팝업에서 검색한 사용자를 [체크]한다",""
"passed","Tue Nov 24 23:45:54 KST 2020","Tue Nov 24 23:46:03 KST 2020","8614","","","","","","사용자 상세 페이지에서 [MFA 인증하고, 활성화 상태인 사용자]의 [더보기] 메뉴를 확인한다",""
"passed","Wed Nov 25 00:35:03 KST 2020","Wed Nov 25 00:35:22 KST 2020","19070","","","","","","[그룹 사용자 삭제]팝업의 출력요소를 확인한다",""
"passed","Tue Nov 24 21:31:42 KST 2020","Tue Nov 24 21:31:50 KST 2020","7900","","","","","","사용자 목록 페이지에서 프로필 이미지를 미등록한 사용자의 [프로필 이미지]를 확인한다",""
"passed","Wed Nov 25 00:29:16 KST 2020","Wed Nov 25 00:29:27 KST 2020","10966","","","","","","[그룹 사용자 추가]팝업에서 [유효하지 않은 텍스트]를 입력하고 사용자를 [검색]한다",""
"passed","Tue Nov 24 23:46:36 KST 2020","Tue Nov 24 23:47:00 KST 2020","23712","","","","","","사용자 상세 페이지에서 2단계 인증을 해제하고 해당 사용자로 로그인한다",""
"passed","Tue Nov 24 21:27:16 KST 2020","Tue Nov 24 21:27:27 KST 2020","11509","","","","","","[사용자 추가]팝업에서 모든 값을 입력하고 사용자4 [추가]를 시도한다",""
"passed","Tue Nov 24 22:02:08 KST 2020","Tue Nov 24 22:02:16 KST 2020","7982","","","","","","그룹 목록 페이지에서 [그룹 추가]팝업을 취소한다",""
"passed","Tue Nov 24 22:06:37 KST 2020","Tue Nov 24 22:06:55 KST 2020","18129","","","","","","그룹 목록 페이지에서 설명이 없는 그룹의 [설명]을 확인한다",""
"passed","Tue Nov 24 23:49:38 KST 2020","Tue Nov 24 23:49:47 KST 2020","8786","","","","","","사용자 상세 페이지에서 [대기] 상태인 사용자의 [상태]를 확인한다",""
"passed","Tue Nov 24 23:45:09 KST 2020","Tue Nov 24 23:45:19 KST 2020","9554","","","","","","[계정활성화 메일 재전송]팝업의 [출력요소]를 확인한다",""
"passed","Tue Nov 24 23:45:28 KST 2020","Tue Nov 24 23:45:38 KST 2020","9643","","","","","","[계정활성화 메일 재전송]팝업에서 계정활성화 메일 [재전송]을 한다",""
"passed","Wed Nov 25 00:28:30 KST 2020","Wed Nov 25 00:28:43 KST 2020","13831","","","","","","그룹 상세 페이지에서 [아이디]를 전체 입력하고 사용자를 [검색]한다",""
"passed","Tue Nov 24 23:51:00 KST 2020","Tue Nov 24 23:51:09 KST 2020","9141","","","","","","사용자 상세 페이지에서 [성]을 입력하지 않고 [저장]을 시도한다",""
"passed","Wed Nov 25 00:24:55 KST 2020","Wed Nov 25 00:25:04 KST 2020","8474","","","","","","생성한 그룹 상세 페이지에서 출력요소를 확인한다",""
"passed","Wed Nov 25 00:27:03 KST 2020","Wed Nov 25 00:27:13 KST 2020","10560","","","","","","생성한 그룹 상세 페이지에서 기본 그룹의 [설명]을 확인한다",""
"passed","Wed Nov 25 00:32:43 KST 2020","Wed Nov 25 00:33:04 KST 2020","20938","","","","","","그룹 상세 페이지에서 프로필 이미지를 미등록한 사용자의 [프로필 이미지]를 확인한다",""
"passed","Wed Nov 25 00:25:27 KST 2020","Wed Nov 25 00:25:35 KST 2020","7977","","","","","","생성한 그룹 상세 페이지에서 [더보기] 버튼을 확인한다",""
"passed","Tue Nov 24 22:01:22 KST 2020","Tue Nov 24 22:01:32 KST 2020","10098","","","","","","[그룹 추가]팝업에서 [그룹 이름]을 입력하지 않고 그룹 [추가]를 시도한다",""
"passed","Tue Nov 24 21:36:22 KST 2020","Tue Nov 24 21:36:29 KST 2020","7689","","","","","","사용자 목록 페이지에서 [마지막] 페이지로 이동한다",""
"passed","Wed Nov 25 00:28:43 KST 2020","Wed Nov 25 00:28:53 KST 2020","9510","","","","","","생성한 그룹 상세 페이지에서 [그룹 사용자 추가]버튼이 출력된다",""
"passed","Tue Nov 24 21:34:39 KST 2020","Tue Nov 24 21:34:49 KST 2020","9670","","","","","","사용자 목록 페이지에서 계정활성화 메일 재전송을 취소한다",""
"passed","Tue Nov 24 21:27:01 KST 2020","Tue Nov 24 21:27:16 KST 2020","14746","","","","","","[사용자 추가]팝업에서 전화번호를 입력하지 않고 사용자3 [추가]를 시도한다",""
"passed","Tue Nov 24 23:46:03 KST 2020","Tue Nov 24 23:46:12 KST 2020","9640","","","","","","사용자 상세 페이지에서 [2단계 인증 해제 팝업]으로 이동한다",""
"passed","Tue Nov 24 23:52:41 KST 2020","Tue Nov 24 23:52:51 KST 2020","10078","","","","","","사용자 상세 페이지에서 [부서]를 입력하지 않고 [저장]을 시도한다",""
"passed","Wed Nov 25 00:30:04 KST 2020","Wed Nov 25 00:30:14 KST 2020","9871","","","","","","[그룹 사용자 추가]팝업에서 [아이디]를 부분 입력하고 사용자를 [검색]한다",""
"passed","Tue Nov 24 21:31:11 KST 2020","Tue Nov 24 21:31:19 KST 2020","8488","","","","","","사용자 목록 페이지에서 [유효하지 않은 텍스트]를 입력하고 [검색]한다",""
"passed","Tue Nov 24 21:34:08 KST 2020","Tue Nov 24 21:34:17 KST 2020","9241","","","","","","사용자 목록 페이지에서 계정활성화 메일 재전송 팝업으로 이동한다",""
"passed","Tue Nov 24 21:35:43 KST 2020","Tue Nov 24 21:35:51 KST 2020","7704","","","","","","사용자 목록 페이지에서 페이징을 확인한다",""
"passed","Tue Nov 24 23:52:57 KST 2020","Tue Nov 24 23:53:07 KST 2020","9749","","","","","","사용자 상세 페이지에서 변경한 [부서]가 반영되었는지 화면을 새로고침하여 확인한다",""
"passed","Tue Nov 24 21:35:11 KST 2020","Tue Nov 24 21:35:19 KST 2020","8634","","","","","","사용자 목록 페이지에서 [MFA 인증하고, 활성화 상태인 사용자]의 2단계 인증 해제를 [취소]한다",""
"passed","Tue Nov 24 23:54:08 KST 2020","Tue Nov 24 23:54:18 KST 2020","10381","","","","","","사용자 상세 페이지에서 [기본 그룹]을 확인한다",""
"passed","Wed Nov 25 00:24:46 KST 2020","Wed Nov 25 00:24:55 KST 2020","8781","","","","","","기본그룹 상세 페이지에서 출력요소를 확인한다",""
"passed","Tue Nov 24 23:47:31 KST 2020","Tue Nov 24 23:47:50 KST 2020","18860","","","","","","사용자 상세 페이지에서 [프로필 이미지를 미등록한 사용자]의 [프로필 이미지]를 확인한다",""
"passed","Tue Nov 24 22:01:14 KST 2020","Tue Nov 24 22:01:22 KST 2020","7812","","","","","","[그룹 추가]팝업에서 출력요소를 확인한다",""
"passed","Tue Nov 24 21:25:00 KST 2020","Tue Nov 24 21:25:08 KST 2020","8459","","","","","","[사용자 추가]팝업에서 프로필 이미지에 [유효하지 않은 크기의 이미지]를 업로드 시도한다",""
"passed","Tue Nov 24 23:43:18 KST 2020","Tue Nov 24 23:43:36 KST 2020","18421","","","","","","사용자 상세 페이지에서 출력요소를 확인한다",""
"passed","Tue Nov 24 23:49:27 KST 2020","Tue Nov 24 23:49:38 KST 2020","11008","","","","","","사용자 상세 페이지에서 [2단계 설정 필요없고, 활성화 상태인 사용자]의 [더보기] 메뉴를 확인한다",""
"passed","Tue Nov 24 21:22:41 KST 2020","Tue Nov 24 21:22:51 KST 2020","9727","","","","","","메가존 어드민 페이지에서 사용자 페이지로 이동한다",""
"passed","Wed Nov 25 00:31:58 KST 2020","Wed Nov 25 00:32:10 KST 2020","12429","","","","","","[그룹 사용자 추가]팝업에서 그룹 사용자 추가를 [취소]한다",""
"passed","Wed Nov 25 00:25:04 KST 2020","Wed Nov 25 00:25:13 KST 2020","8948","","","","","","그룹 상세 페이지에서 [Breadcrumb]을 확인한다",""
"passed","Tue Nov 24 21:25:17 KST 2020","Tue Nov 24 21:25:26 KST 2020","8929","","","","","","[사용자 추가]팝업에서 프로필 이미지를 업로드하고 [변경]한다",""
"passed","Tue Nov 24 23:49:47 KST 2020","Tue Nov 24 23:49:56 KST 2020","9780","","","","","","사용자 상세 페이지에서 [2단계 설정 필요없고, 활성 상태인 사용자]의 [상태]를 확인한다",""
"passed","Wed Nov 25 00:33:22 KST 2020","Wed Nov 25 00:33:46 KST 2020","23663","","","","","","그룹 상세 페이지에서 사용자의 [아이디]를 확인한다",""
"passed","Tue Nov 24 23:46:27 KST 2020","Tue Nov 24 23:46:36 KST 2020","8931","","","","","","사용자 상세 페이지에서 2단계 인증 해제를 취소한다",""
"passed","Wed Nov 25 00:32:21 KST 2020","Wed Nov 25 00:32:43 KST 2020","22456","","","","","","[그룹 사용자 추가]팝업에서 사용자를 [추가]한다",""
"passed","Tue Nov 24 23:48:10 KST 2020","Tue Nov 24 23:48:20 KST 2020","10633","","","","","","사용자 상세 페이지에서 [프로필 이미지]에 [유효하지 않은 크기의 파일]을 [업로드] 시도한다",""
"passed","Wed Nov 25 00:32:10 KST 2020","Wed Nov 25 00:32:21 KST 2020","10606","","","","","","[그룹 사용자 추가]팝업에서 사용자를 추가하지 않고 그룹 사용자 [추가]를 시도한다",""
"passed","Tue Nov 24 23:47:50 KST 2020","Tue Nov 24 23:47:59 KST 2020","8786","","","","","","사용자 상세 페이지에서 [프로필 이미지를 등록한 사용자]의 [프로필 이미지]를 확인한다",""
"passed","Tue Nov 24 21:36:14 KST 2020","Tue Nov 24 21:36:22 KST 2020","7913","","","","","","사용자 목록 페이지에서 [처음] 페이지로 이동한다",""
"passed","Tue Nov 24 21:26:20 KST 2020","Tue Nov 24 21:26:31 KST 2020","10879","","","","","","[사용자 추가]팝업에서 필수값만 입력하고 사용자1 [추가]한다",""
"passed","Tue Nov 24 21:32:22 KST 2020","Tue Nov 24 21:32:31 KST 2020","9296","","","","","","사용자 목록 페이지에서 [로그인 이력없는 사용자]의 [최근 로그인 날짜]를 확인한다",""
"passed","Tue Nov 24 23:47:59 KST 2020","Tue Nov 24 23:48:10 KST 2020","11247","","","","","","사용자 상세 페이지에서 [프로필 이미지]에 [유효하지 않은 확장자의 파일]을 [업로드] 시도한다",""
"passed","Tue Nov 24 21:35:59 KST 2020","Tue Nov 24 21:36:08 KST 2020","8643","","","","","","사용자 목록 페이지에서 [다음] 페이지로 이동한다",""
"passed","Wed Nov 25 00:31:37 KST 2020","Wed Nov 25 00:31:46 KST 2020","9330","","","","","","[그룹 사용자 추가]팝업에서 선택한 사용자를 [체크 해제]한다",""
"passed","Wed Nov 25 00:25:45 KST 2020","Wed Nov 25 00:25:54 KST 2020","9375","","","","","","생성한 그룹 상세 페이지에서 그룹의 [이름]을 확인한다",""
"passed","Tue Nov 24 21:35:51 KST 2020","Tue Nov 24 21:35:59 KST 2020","7712","","","","","","사용자 목록 페이지에서 [이전] 페이지로 이동한다",""
"passed","Wed Nov 25 00:34:13 KST 2020","Wed Nov 25 00:34:25 KST 2020","11975","","","","","","그룹 상세 페이지에서 [비활성] 상태인 사용자의 [상태]를 확인한다",""
"passed","Wed Nov 25 00:34:25 KST 2020","Wed Nov 25 00:34:44 KST 2020","19391","","","","","","그룹 상세 페이지에서 [그룹 사용자 삭제]버튼이 출력된다",""
"passed","Wed Nov 25 00:33:46 KST 2020","Wed Nov 25 00:34:04 KST 2020","18791","","","","","","그룹 상세 페이지에서 [대기] 상태인 사용자의 [상태]를 확인한다",""
"passed","Wed Nov 25 00:36:00 KST 2020","Wed Nov 25 00:36:12 KST 2020","12539","","","","","","그룹 상세 페이지에서 [그룹 삭제]팝업으로 이동한다",""
"passed","Tue Nov 24 23:54:46 KST 2020","Tue Nov 24 23:54:55 KST 2020","9657","","","","","","사용자 상세 페이지에서 [생성한 그룹]의 사용자 목록으로 이동한다",""
"passed","Tue Nov 24 23:44:37 KST 2020","Tue Nov 24 23:44:47 KST 2020","9779","","","","","","[사용자 삭제]팝업에서 주사용자를 [삭제] 시도도한",""
"passed","Tue Nov 24 23:52:22 KST 2020","Tue Nov 24 23:52:31 KST 2020","8522","","","","","","사용자 상세 페이지에서 사용자의 [아이디]를 확인한다",""
"passed","Tue Nov 24 23:51:49 KST 2020","Tue Nov 24 23:51:58 KST 2020","8854","","","","","","사용자 상세 페이지에서 [이름]을 입력하지 않고 [저장]을 시도한다",""
"passed","Tue Nov 24 23:49:56 KST 2020","Tue Nov 24 23:50:05 KST 2020","8749","","","","","","사용자 상세 페이지에서 [비활성] 상태인 사용자의 [상태]를 확인한다",""
"passed","Tue Nov 24 22:06:05 KST 2020","Tue Nov 24 22:06:13 KST 2020","7860","","","","","","그룹 목록 페이지에서 [유효하지 않은 텍스트]를 입력하고 [검색]한다",""
"passed","Tue Nov 24 22:06:29 KST 2020","Tue Nov 24 22:06:37 KST 2020","7938","","","","","","그룹 목록 페이지에서 그룹의 [이름]을 확인한다",""
"passed","Tue Nov 24 21:25:41 KST 2020","Tue Nov 24 21:25:49 KST 2020","8308","","","","","","[사용자 추가]팝업에서 성을 입력하지 않고 사용자 [추가]를 시도한다",""
"passed","Wed Nov 25 00:31:12 KST 2020","Wed Nov 25 00:31:37 KST 2020","25083","","","","","","[그룹 사용자 추가]팝업에서 검색한 사용자를 여러명 [체크]한다",""
"passed","Tue Nov 24 23:51:35 KST 2020","Tue Nov 24 23:51:49 KST 2020","13776","","","","","","사용자 상세 페이지에서 사용자 [이름]을 확인한다",""
"passed","Tue Nov 24 21:25:32 KST 2020","Tue Nov 24 21:25:41 KST 2020","8664","","","","","","[사용자 추가]팝업에서 프로필 이미지을 업로드하고 [삭제]한다",""
"passed","Tue Nov 24 21:31:19 KST 2020","Tue Nov 24 21:31:27 KST 2020","7949","","","","","","사용자 목록 페이지에서 [이름]을 부분 입력하고 [검색]한다",""
"passed","Tue Nov 24 22:07:03 KST 2020","Tue Nov 24 22:07:11 KST 2020","8117","","","","","","그룹 목록 페이지에서 설명이 있는 그룹의 [사용자 수]를 확인한다",""
"passed","Tue Nov 24 23:52:08 KST 2020","Tue Nov 24 23:52:22 KST 2020","14830","","","","","","사용자 상세 페이지에서 변경한 [이름]이 반영되었는지 화면을 새로고침하여 확인한다",""
"passed","Tue Nov 24 23:45:19 KST 2020","Tue Nov 24 23:45:28 KST 2020","9452","","","","","","[계정활성화 메일 재전송]팝업에서 계정활성화 메일 재전송을 [취소]한다",""
"passed","Wed Nov 25 00:35:40 KST 2020","Wed Nov 25 00:36:00 KST 2020","19632","","","","","","[그룹 사용자 삭제]팝업에서 사용자를 [삭제]한다",""
"passed","Tue Nov 24 23:50:20 KST 2020","Tue Nov 24 23:50:29 KST 2020","9300","","","","","","사용자 상세 페이지에서 2단계 설정 필요없고, 활성화 상태인 사용자의 [더보기] 메뉴를 확인한다",""
"passed","Tue Nov 24 21:32:53 KST 2020","Tue Nov 24 21:33:03 KST 2020","9914","","","","","","사용자 목록 페이지에서 [활성] 상태인 사용자의 [상태]를 확인한다",""
"passed","Wed Nov 25 00:26:44 KST 2020","Wed Nov 25 00:27:03 KST 2020","18700","","","","","","생성한 그룹 상세 페이지에서 그룹의 [설명]을 확인한다",""
"passed","Tue Nov 24 21:27:27 KST 2020","Tue Nov 24 21:27:35 KST 2020","8208","","","","","","사용자 목록 페이지에서 [사용자 추가]팝업을 취소한다",""
"passed","Tue Nov 24 22:01:32 KST 2020","Tue Nov 24 22:01:40 KST 2020","8168","","","","","","[그룹 추가]팝업에서 아이디를 중복 입력하고 그룹 [추가]를 시도한다",""
